-13068, 10000800.0, 10000801.0, 10000802.0, 10000803.0, 10000804.0, 10000805.0, 10000806.0, 10000807.0, 10000808.0, 10000809.0, 10000810.0, 10000811.0, 10000812.0, 10000813.0, 10000814.0, 10000815.0, 10000816.0, 10000817.0, 10000818.0, 10000819.0, 
-13067, 10000820.0, 10000821.0, 10000822.0, 10000823.0, 10000824.0, 10000825.0, 10000826.0, 10000827.0, 10000828.0, 10000829.0, 10000830.0, 10000831.0, 10000832.0, 10000833.0, 10000834.0, 10000835.0, 10000836.0, 10000837.0, 10000838.0, 10000839.0, 
-13066, 10000840.0, 10000841.0, 10000842.0, 10000843.0, 10000844.0, 10000845.0, 10000846.0, 10000847.0, 10000848.0, 10000849.0, 10000850.0, 10000851.0, 10000852.0, 10000853.0, 10000854.0, 10000855.0, 10000856.0, 10000857.0, 10000858.0, 10000859.0, 
-13065, 10000860.0, 10000861.0, 10000862.0, 10000863.0, 10000864.0, 10000865.0, 10000866.0, 10000867.0, 10000868.0, 10000869.0, 10000870.0, 10000871.0, 10000872.0, 10000873.0, 10000874.0, 10000875.0, 10000876.0, 10000877.0, 10000878.0, 10000879.0, 
-13064, 10000880.0, 10000881.0, 10000882.0, 10000883.0, 10000884.0, 10000885.0, 10000886.0, 10000887.0, 10000888.0, 10000889.0, 10000890.0, 10000891.0, 10000892.0, 10000893.0, 10000894.0, 10000895.0, 10000896.0, 10000897.0, 10000898.0, 10000899.0, 
-13063, 10000900.0, 10000901.0, 10000902.0, 10000903.0, 10000904.0, 10000905.0, 10000906.0, 10000907.0, 10000908.0, 10000909.0, 10000910.0, 10000911.0, 10000912.0, 10000913.0, 10000914.0, 10000915.0, 10000916.0, 10000917.0, 10000918.0, 10000919.0, 
-13062, 10000920.0, 10000921.0, 10000922.0, 10000923.0, 10000924.0, 10000925.0, 10000926.0, 10000927.0, 10000928.0, 10000929.0, 10000930.0, 10000931.0, 10000932.0, 10000933.0, 10000934.0, 10000935.0, 10000936.0, 10000937.0, 10000938.0, 10000939.0, 
-13061, 10000940.0, 10000941.0, 10000942.0, 10000943.0, 10000944.0, 10000945.0, 10000946.0, 10000947.0, 10000948.0, 10000949.0, 10000950.0, 10000951.0, 10000952.0, 10000953.0, 10000954.0, 10000955.0, 10000956.0, 10000957.0, 10000958.0, 10000959.0, 
-13060, 10000960.0, 10000961.0, 10000962.0, 10000963.0, 10000964.0, 10000965.0, 10000966.0, 10000967.0, 10000968.0, 10000969.0, 10000970.0, 10000971.0, 10000972.0, 10000973.0, 10000974.0, 10000975.0, 10000976.0, 10000977.0, 10000978.0, 10000979.0, 
-13059, 10000980.0, 10000981.0, 10000982.0, 10000983.0, 10000984.0, 10000985.0, 10000986.0, 10000987.0, 10000988.0, 10000989.0, 10000990.0, 10000991.0, 10000992.0, 10000993.0, 10000994.0, 10000995.0, 10000996.0, 10000997.0, 10000998.0, 10000999.0, 
